                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.64468,                0.38753,                0.87013,                0.97947,                0.98499,                 0.9937,                0.79539,                0.83261,                0.38268,                 0.9138,              0.0002312,              0.0002312,              0.0002312
                    136,                0.65037,                  0.396,                0.87262,                0.98413,                0.97935,                0.99389,                0.79518,                0.83744,                0.37922,                0.91784,               0.000218,               0.000218,               0.000218
                    137,                0.61845,                0.38085,                0.86678,                0.97966,                0.97935,                 0.9936,                0.79587,                 0.8409,                0.38363,                  0.918,              0.0002048,              0.0002048,              0.0002048
                    138,                0.61079,                0.38079,                0.86526,                0.99089,                 0.9823,                0.99318,                0.80445,                 0.8298,                0.38144,                0.91328,              0.0001916,              0.0001916,              0.0001916
                    139,                0.62289,                0.38421,                0.86991,                0.98815,                0.98389,                 0.9934,                0.80127,                0.83603,                0.38021,                0.91278,              0.0001784,              0.0001784,              0.0001784
                    140,                0.56058,                0.32257,                0.83018,                0.99339,                0.97935,                 0.9935,                0.80104,                0.84779,                 0.3795,                0.91542,              0.0001652,              0.0001652,              0.0001652
                    141,                0.53907,                0.30828,                 0.8256,                0.98992,                 0.9823,                0.99353,                0.79022,                0.85247,                0.38427,                 0.9177,               0.000152,               0.000152,               0.000152
                    142,                0.53891,                0.31299,                0.83158,                0.99697,                0.97027,                0.99356,                  0.795,                0.84777,                0.38328,                0.91645,              0.0001388,              0.0001388,              0.0001388
                    143,                0.53633,                0.30392,                0.83321,                0.99696,                0.96688,                0.99371,                 0.8022,                0.82871,                0.37821,                0.91141,              0.0001256,              0.0001256,              0.0001256
                    144,                0.51663,                0.29683,                0.82557,                0.98162,                 0.9823,                0.99386,                0.80126,                 0.8281,                0.37131,                0.91041,              0.0001124,              0.0001124,              0.0001124
                    145,                 0.5109,                0.29419,                0.82478,                0.99396,                0.97159,                0.99368,                0.80127,                0.83039,                0.36895,                0.91093,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.51684,                0.29698,                0.82683,                0.98465,                 0.9823,                0.99386,                0.79958,                 0.8275,                0.36511,                0.91016,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.52068,                0.29525,                0.82122,                0.99698,                0.97496,                0.99388,                 0.8027,                0.83024,                0.36132,                0.91141,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.51586,                0.29094,                 0.8227,                  0.994,                  0.978,                0.99395,                0.80146,                0.82881,                0.35948,                 0.9108,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.51176,                0.28849,                0.81946,                0.99265,                0.97935,                0.99394,                0.80018,                0.82905,                0.35783,                0.91031,               4.64e-05,               4.64e-05,               4.64e-05
